0,0,0,1,0
2,0,0,0,0
3,0,0,1,0
4,0,0,0,0
60,1,0,1,0
62,1,0,0,0
120,1,1,1,0
122,1,1,0,0
300,1,1,1,0
301,0,0,1,0
302,1,1,0,0
303,0,0,0,0
304,1,1,0,0
305,0,0,0,0
306,1,1,0,0
307,0,0,0,0
308,1,1,0,0
309,0,0,0,0
310,1,1,0,0
311,0,0,0,0
312,1,1,0,0
313,0,0,0,0
314,1,1,0,0
315,0,0,0,0
316,1,1,0,0
317,0,0,0,0
318,1,1,0,0
319,0,0,0,0
320,1,1,0,0
321,0,0,0,0
322,1,1,0,0
323,0,0,0,0
324,1,1,0,0
325,0,0,0,0
326,1,1,0,0
327,0,0,0,0
328,1,1,0,0
329,0,0,0,0
330,1,1,0,1
331,0,0,0,0
332,1,1,0,0
333,0,0,0,0
334,1,1,0,0
335,0,0,0,0
336,1,1,0,0
337,0,0,0,0
338,1,1,0,0
339,0,0,0,0
340,1,1,0,0
341,0,0,0,0
342,1,1,0,0
343,0,0,0,0
344,1,1,0,0
345,0,0,0,0
346,1,1,0,0
347,0,0,0,0
348,1,1,0,0
349,0,0,0,0
350,1,1,0,1
351,0,0,0,0
352,1,1,0,1
353,0,0,0,0
354,1,1,0,1
355,0,0,0,0
356,1,1,0,1
357,0,0,0,0
358,1,1,0,1
359,0,0,0,0
360,0,0,1,0
361,0,0,1,0
362,0,0,1,0
363,0,0,0,0
